id,acetic acid,butyric acid,ethanol,formic acid,H2,DL-lactic acid,n-butanol,propionic acid,succinic acid,acetone
GCF_000005845.2,1,0,1,1,1,1,0,0,1,0
GCF_000008345.1,1,0,0,0,0,1,0,1,0,0
GCF_000008545.1,1,0,0,0,1,0,0,0,0,0
GCF_000008765.1,1,1,1,0,1,0,1,0,0,1
GCF_000011065.1,1,0,0,1,1,0,0,1,0,0
GCF_000011985.1,1,0,0,0,0,1,0,0,0,0
GCF_000013285.1,1,1,1,1,1,1,0,1,0,0
GCF_000020425.1,1,0,0,0,0,1,0,0,0,0
GCF_000020605.1,0,1,0,1,1,1,0,0,0,0
GCF_000022965.1,1,0,0,0,0,1,0,0,0,0
GCF_000025885.1,1,0,0,0,1,0,0,1,0,0
GCF_000056065.1,1,0,0,0,0,1,0,0,0,0
GCF_000143845.1,1,0,0,1,0,1,0,0,0,0
GCF_000144405.1,1,0,0,0,0,0,0,0,1,0
GCF_000160535.1,1,0,0,0,0,0,0,0,1,0
GCF_000162015.1,0,1,0,1,0,1,0,0,0,0
GCF_000173975.1,0,1,0,0,1,0,0,0,0,0
GCF_000175255.2,0,0,1,0,0,0,0,0,0,0
GCF_000203855.3,1,0,0,0,0,1,0,0,0,0
GCF_000389635.1,1,1,0,0,1,0,0,0,0,0
GCF_000392875.1,1,0,1,1,0,1,0,0,0,0
GCF_000469345.1,1,1,1,0,1,0,0,0,0,0
GCF_001456065.2,1,1,0,1,1,0,0,0,0,0
GCF_001561955.1,1,0,0,0,0,0,0,1,0,0
